"family","config_id","stage","entry_point","backbone","varied_params","wall_clock_sec","platform","gpu","pytorch","cuda","coverage_status","notes"
"Contrastive learning(SimSiam)","simsiam_resnet152","training","train_contrastive.py","ResNet152","mode=simsiam; backbone=ResNet152","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb0_ch64","training","train_separation.py","TSCNet_Cont","cb=0; channels=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb0_ch128","training","train_separation.py","TSCNet_Cont","cb=0; channels=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb1_ch64","training","train_separation.py","TSCNet_Cont","cb=1; channels=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb1_ch128","training","train_separation.py","TSCNet_Cont","cb=1; channels=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb2_ch64","training","train_separation.py","TSCNet_Cont","cb=2; channels=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb2_ch128","training","train_separation.py","TSCNet_Cont","cb=2; channels=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb4_ch64","training","train_separation.py","TSCNet_Cont","cb=4; channels=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Separation","sep_cb4_ch128","training","train_separation.py","TSCNet_Cont","cb=4; channels=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_EAT-large","evaluation","evaluate_pretrain.py","EAT-large","model=EAT-large","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_EAT-base","evaluation","evaluate_pretrain.py","EAT-base","model=EAT-base","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_BEATs-iter3","evaluation","evaluate_pretrain.py","BEATs-iter3","model=BEATs-iter3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_BEATs-iter3plus","evaluation","evaluate_pretrain.py","BEATs-iter3+","model=BEATs-iter3+","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_CED-base","evaluation","evaluate_pretrain.py","CED-base","model=CED-base","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
